"2007, 2012, 2017, 2022 Crosswalk for Census Industry Codes and NAICS Codes ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
9/9/2024,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data user note: ,,,,,,,,,,,,,,
"Highlighted and bolded cells indicate where there was a change to the Census industry code, a change to the Census industry description and/or a change to the NAICS code. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2007 Census Industry Code,2007 NAICS Code,2007 Census Industry Description,,2012 Census Industry Code,2012 NAICS code,2012 Census Industry Description,,2017 Census Industry Code,2017 NAICS code,2017 Census Industry Description,,2022 Census Industry Code,2022 NAICS code,2022 Census Industry Description
3490,"3351, 3353, 3359","Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",,3490,"3351, 3353, 3359","Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",,3490,"3351, 3353, 3359","Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",,3490,"3351, 3353, 3359","Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c."
3570,"3361, 3362, 3363",Motor vehicles and motor vehicle equipment manufacturing ,,3570,"3361, 3362, 3363",Motor vehicles and motor vehicle equipment manufacturing ,,3570,"3361, 3362, 3363",Motor vehicles and motor vehicle equipment manufacturing ,,3570,"3361, 3362, 3363",Motor vehicles and motor vehicle equipment manufacturing 
3580,"336411, 336412, 336413",Aircraft and parts manufacturing,,3580,"336411, 336412, 336413",Aircraft and parts manufacturing,,3580,"336411, 336412, 336413",Aircraft and parts manufacturing,,3580,"336411, 336412, 336413","Aircraft, aircraft engine, and aircraft parts manufacturing"
3590,"336414, 336415, 336419",Aerospace products and parts manufacturing ,,3590,"336414, 336415, 336419",Aerospace products and parts manufacturing ,,3590,"336414, 336415, 336419",Aerospace products and parts manufacturing ,,3590,"336414, 336415, 336419",Guided missile and space vehicle and parts manufacturing
3670,3365,Railroad rolling stock manufacturing,,3670,3365,Railroad rolling stock manufacturing,,3670,3365,Railroad rolling stock manufacturing,,3670,3365,Railroad rolling stock manufacturing
3680,3366,Ship and boat building ,,3680,3366,Ship and boat building ,,3680,3366,Ship and boat building ,,3680,3366,Ship and boat building 
3690,3369,Other transportation equipment manufacturing,,3690,3369,Other transportation equipment manufacturing,,3690,3369,Other transportation equipment manufacturing,,3690,3369,Other transportation equipment manufacturing
3770,3211,Sawmills and wood preservation ,,3770,3211,Sawmills and wood preservation ,,3770,3211,Sawmills and wood preservation ,,3770,3211,Sawmills and wood preservation 
3780,3212,"Veneer, plywood, and engineered wood products ",,3780,3212,"Veneer, plywood, and engineered wood products ",,3780,3212,"Veneer, plywood, and engineered wood products ",,3780,3212,"Veneer, plywood, and engineered wood product manufacturing "
3790,"321991, 321992",Prefabricated wood buildings and mobile homes manufacturing,,3790,"321991, 321992",Prefabricated wood buildings and mobile homes manufacturing,,3790,"321991, 321992",Prefabricated wood buildings and mobile homes manufacturing,,3790,"321991, 321992",Manufactured home (mobile home) and prefabricated wood building manufacturing
3870,"3219 exc. 321991, 321992",Miscellaneous wood product manufacturing,,3875,"3219 exc. 321991, 321992",Miscellaneous wood products,,3875,"3219 exc. 321991, 321992",Miscellaneous wood products,,3875,"3219 exc. 321991, 321992",Miscellaneous wood product manufacturing
3890,337,Furniture and related product manufacturing ,,3895,337,Furniture and related product manufacturing ,,3895,337,Furniture and related product manufacturing ,,3895,337,Furniture and related product manufacturing 
3960,3391,Medical equipment and supplies manufacturing,,3960,3391,Medical equipment and supplies manufacturing,,3960,3391,Medical equipment and supplies manufacturing,,3960,3391,Medical equipment and supplies manufacturing
