"2007, 2012, 2017, 2022 Crosswalk for Census Industry Codes and NAICS Codes ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
9/9/2024,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data user note: ,,,,,,,,,,,,,,
"Highlighted and bolded cells indicate where there was a change to the Census industry code, a change to the Census industry description and/or a change to the NAICS code. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2007 Census Industry Code,2007 NAICS Code,2007 Census Industry Description,,2012 Census Industry Code,2012 NAICS code,2012 Census Industry Description,,2017 Census Industry Code,2017 NAICS code,2017 Census Industry Description,,2022 Census Industry Code,2022 NAICS code,2022 Census Industry Description
8680,722 exc. 7224,Restaurants and other food services ,,8680,722 exc. 7224,Restaurants and other food services ,,8680,722 exc. 7224,Restaurants and other food services ,,8680,722 exc. 7224,"Food services and drinking places, except alcoholic beverages"
8690,7224,"Drinking places, alcoholic beverages ",,8690,7224,"Drinking places, alcoholic beverages ",,8690,7224,"Drinking places, alcoholic beverages ",,8690,7224,Drinking places (alcoholic beverages)
8770,8111 exc. 811192,Automotive repair and maintenance ,,8770,8111 exc. 811192,Automotive repair and maintenance ,,8770,8111 exc. 811192,Automotive repair and maintenance ,,8770,8111 exc. 811192,"Automotive repair and maintenance, except car washes"
8780,811192,Car washes,,8780,811192,Car washes,,8780,811192,Car washes,,8780,811192,Car washes
8790,8112,Electronic and precision equipment repair and maintenance,,8790,8112,Electronic and precision equipment repair and maintenance,,8790,8112,Electronic and precision equipment repair and maintenance,,8790,8112,Electronic and precision equipment repair and maintenance
8870,8113,Commercial and industrial machinery and equipment repair and maintenance,,8870,8113,Commercial and industrial machinery and equipment repair and maintenance,,8870,8113,Commercial and industrial machinery and equipment repair and maintenance,,8870,8113,Commercial and industrial machinery and equipment repair and maintenance
8880,8114 exc. 81143,Personal and household goods repair and maintenance ,,8880,8114 exc. 81143,Personal and household goods repair and maintenance ,,8891,8114,Personal and household goods repair and maintenance ,,8891,8114,Personal and household goods repair and maintenance 
8890,81143,Footwear and leather goods repair ,,8890,81143,Footwear and leather goods repair ,,8891,8114,Personal and household goods repair and maintenance ,,,,
8970,812111,Barber shops ,,8970,812111,Barber shops ,,8970,812111,Barber shops ,,8970,812111,Barber shops 
8980,812112,Beauty salons ,,8980,812112,Beauty salons ,,8980,812112,Beauty salons ,,8980,812112,Beauty salons 
8990,"812113, 81219",Nail salons and other personal care services  ,,8990,"812113, 81219",Nail salons and other personal care services  ,,8990,"812113, 81219",Nail salons and other personal care services  ,,8990,"812113, 81219",Nail salons and other personal care services  
9070,8123,Drycleaning and laundry services ,,9070,8123,Drycleaning and laundry services ,,9070,8123,Drycleaning and laundry services ,,9070,8123,Drycleaning and laundry services 
9080,8122,"Funeral homes, and cemeteries and crematories ",,9080,8122,"Funeral homes, and cemeteries and crematories ",,9080,8122,"Funeral homes, and cemeteries and crematories ",,9080,8122,Death care services 
9090,8129,Other personal services ,,9090,8129,Other personal services ,,9090,8129,Other personal services ,,9090,8129,Other personal services 
9160,8131,Religious organizations ,,9160,8131,Religious organizations ,,9160,8131,Religious organizations ,,9160,8131,Religious organizations 
9170,"8132, 8133, 8134","Civic, social, advocacy organizations, and grantmaking and giving services",,9170,"8132, 8133, 8134","Civic, social, advocacy organizations, and grantmaking and giving services",,9170,"8132, 8133, 8134","Civic, social, advocacy organizations, and grantmaking and giving services",,9170,"8132, 8133, 8134","Civic, social, advocacy organizations, and grantmaking and giving services"
9180,81393,Labor unions,,9180,81393,Labor unions,,9180,81393,Labor unions,,9180,81393,Labor unions and similar labor organizations
9190,8139 exc. 81393,"Business, professional, political, and similar organizations",,9190,8139 exc. 81393,"Business, professional, political, and similar organizations",,9190,8139 exc. 81393,"Business, professional, political, and similar organizations",,9190,8139 exc. 81393,"Business, professional, political, and similar organizations"
9290,814,Private households ,,9290,814,Private households ,,9290,814,Private households ,,9290,814,Private households 
9370,"92111, 92112, 92114, pt. 92115",Executive offices and legislative bodies ,,9370,"92111, 92112, 92114, pt. 92115",Executive offices and legislative bodies ,,9370,"92111, 92112, 92114, pt. 92115",Executive offices and legislative bodies ,,9370,"92111, 92112, 92114, pt. 92115",Executive offices and legislative bodies 
9380,92113,Public finance activities ,,9380,92113,Public finance activities ,,9380,92113,Public finance activities ,,9380,92113,Public finance activities 
9390,92119,Other general government and support ,,9390,92119,Other general government and support ,,9390,92119,Other general government and support ,,9390,92119,Other general government and support 
9470,"922, pt. 92115","Justice, public order, and safety activities ",,9470,"922, pt. 92115","Justice, public order, and safety activities ",,9470,"922, pt. 92115","Justice, public order, and safety activities ",,9470,"922, pt. 92115","Justice, public order, and safety activities "
9480,923,Administration of human resource programs  ,,9480,923,Administration of human resource programs  ,,9480,923,Administration of human resource programs  ,,9480,923,Administration of human resource programs  
9490,"924, 925",Administration of environmental quality and housing programs ,,9490,"924, 925",Administration of environmental quality and housing programs ,,9490,"924, 925",Administration of environmental quality and housing programs ,,9490,"924, 925","Administration of environmental quality, and housing programs, urban planning and community development"
9570,"926, 927",Administration of economic programs and space research,,9570,"926, 927",Administration of economic programs and space research,,9570,"926, 927",Administration of economic programs and space research,,9570,"926, 927",Administration of economic programs and space research and technology
9590,928,National security and international affairs ,,9590,928,National security and international affairs ,,9590,928,National security and international affairs ,,9590,"92812, pt. 92811",National security and international affairs
9670,928110,U. S. Army,,9670,928110,U. S. Army,,9670,928110,U. S. Army,,9670,pt. 92811,U. S. Army
9680,928110,U. S. Air Force,,9680,928110,U. S. Air Force,,9680,928110,U. S. Air Force,,9680,pt. 92811,U. S. Air Force
9690,928110,U. S. Navy,,9690,928110,U. S. Navy,,9690,928110,U. S. Navy,,9690,pt. 92811,U. S. Navy
9770,928110,U. S. Marines,,9770,928110,U. S. Marines,,9770,928110,U. S. Marines,,9770,pt. 92811,U. S. Marines
9780,928110,U. S. Coast Guard,,9780,928110,U. S. Coast Guard,,9780,928110,U. S. Coast Guard,,9780,pt. 92811,U. S. Coast Guard
9790,928110,"Armed Forces, Branch not specified",,9790,928110,"Armed Forces, Branch not specified",,9790,928110,"Armed Forces, Branch not specified",,9790,pt. 92811,"Armed Forces, Branch not specified"
9870,928110,Military Reserves or National Guard,,9870,928110,Military Reserves or National Guard,,9870,928110,Military Reserves or National Guard,,9870,pt. 92811,Military Reserves or National Guard
9920,,"Unemployed, last worked 5 years ago or earlier or never worked",,9920,,"Unemployed, last worked 5 years ago or earlier or never worked",,9920,,"Unemployed, last worked 5 years ago or earlier or never worked",,9920,,"Unemployed, last worked 5 years ago or earlier or never worked"
