gsector,quarter,PE_count,PE_mean,PE_median,PE_std,PE_var,PE_min,PE_max,MB_count,MB_mean,MB_median,MB_std,MB_var,MB_min,MB_max,company_count,sector_name
45,2014Q2,893,23.613746800285735,16.75,716.8380689861433,513856.81714778324,-17147.0,7106.0,893,5.3027277684100405,1.415940435686485,36.74983685811997,1350.550509098434,-0.4059166434741,850.309090909091,893,Information Technology
45,2014Q3,886,41.34101562449488,28.02777777777778,394.81252684047706,155876.93135016257,-6926.333333333333,4487.0,886,8.221692427208321,1.3578115811111882,94.67433121272806,8963.228990577343,-0.4060648879623822,2240.905263157895,886,Information Technology
45,2014Q4,897,41.726426581252426,6.458333333333334,473.8512035996783,224534.96315286375,-3282.9999999999995,11485.5,897,4.144588567884477,1.387182036334893,17.558868056442275,308.31384742354874,-0.4170739607512134,327.4210877192982,897,Information Technology
45,2015Q1,857,52.31860965992556,-1.3333333333333337,311.3622495459724,96946.45044232835,-1693.0,3495.0,857,23.373503120991383,1.4078630612264529,592.8430994248487,351462.9405356609,-0.2132705121829935,17356.2,856,Information Technology
45,2015Q2,876,58.46639096534468,15.8375,609.3996693521415,371367.9570064992,-6143.0,9825.5,876,6.304065871791494,1.3716536386651623,58.545953454785135,3427.6286659298685,-0.867254137564531,1578.2230769230769,876,Information Technology
45,2015Q3,852,32.62247887812103,6.092592592592592,216.4486870158159,46850.03411087053,-1692.7272727272723,1682.9999999999998,852,7.156011455811495,1.195450915192112,92.32363438699042,8523.653466422677,-0.5058047493403695,2600.095,851,Information Technology
45,2015Q4,841,31.295467244309613,7.5,510.20479063254766,260308.92838440186,-3751.3333333333335,8866.0,841,5.396313739903828,1.2530391137924917,33.59407505766194,1128.5618789798239,-0.575244900489801,730.5045689655173,840,Information Technology
45,2016Q1,787,49.59254952131335,-2.875,381.51398438748373,145552.9202832133,-2515.0,5504.0,787,5.696472474436069,1.264309108793322,41.38304347015668,1712.556286852877,-0.6872124992609234,886.4466666666667,786,Information Technology
45,2016Q2,792,17.379875918747036,-0.8821428571428571,354.22606786814947,125476.10715733086,-5697.0,3030.0,792,6.228664084033575,1.174737297180454,42.16233767037835,1777.6627178310082,-0.5532418362517748,812.9559999999999,792,Information Technology
45,2016Q3,765,34.04349706452988,20.5,361.4329430460186,130633.77231890663,-3013.0,3185.3333333333335,765,10.948035357881508,1.3055868632619076,145.3274420185789,21120.065403663404,-0.5340145539521155,3763.2999999999993,765,Information Technology
45,2016Q4,762,27.8634745603811,11.508513513513513,307.39430191320366,94491.25684870577,-2408.0,3534.0000000000005,762,7.038388697333557,1.3275337374889167,79.80932482369627,6369.52832881426,-0.5490547945205478,1981.0266666666664,762,Information Technology
45,2017Q1,741,14.51365105290697,-2.5,379.5551606691032,144062.11999054873,-5255.0,3790.0,741,36.112274562167045,1.4664224384659414,701.2759998940573,491788.02802741,-0.4503598823158558,18452.98916666667,741,Information Technology
45,2017Q2,735,-3.453683191874013,-1.4210526315789471,397.8126686012537,158254.9192996508,-5645.0,1843.5,735,6.2265574911876955,1.4018442375209892,35.10123892292526,1232.096973924285,-0.4612392010779108,663.3493802816902,735,Information Technology
45,2017Q3,705,22.495588927174538,25.0,395.6233064103752,156517.80057507748,-4340.0,5765.0,705,8.006466473229851,1.5125060188224997,69.09382025199945,4773.955997015608,-0.506379938766584,1706.8319327731094,705,Information Technology
45,2017Q4,718,-45.995298905047825,-5.0,756.9328588670936,572947.3528327093,-15102.0,7600.0,718,10.279718000183998,1.6034500354862402,93.20280495949709,8686.762852318032,-0.5763060916410135,2277.9421296296296,718,Information Technology
45,2018Q1,694,28.620334710897982,-4.04737278761062,555.2689586897936,308323.61648444814,-4630.5,9194.0,694,8.232383929162516,1.5671473485203675,56.135255539024655,3151.166914431604,-0.2417354588012116,1220.2971,694,Information Technology
45,2018Q2,721,4.910256570428481,6.267442857142857,512.8927504916148,263058.9735068536,-8178.0,6242.0,721,42.074738603295714,1.6707053561395064,918.8731151345627,844327.8017170947,-0.6653038499256588,24635.315,720,Information Technology
45,2018Q3,704,58.041948380702976,25.28992083733563,629.8562026779928,396718.8360519407,-3786.999999999999,10127.0,704,5.603664559905333,1.6187740700679019,26.213279643913378,687.1360296900043,-0.385976897689769,352.93375,704,Information Technology
45,2018Q4,703,16.116085418729924,17.18918918918919,686.2821166573444,470983.14364368486,-13844.999999999998,4451.25,703,42.50367180926894,1.2929356394095477,1013.9647318510825,1028124.4774378379,-0.1990005072118499,26875.87562392603,703,Information Technology
45,2019Q1,669,-26.57218937794886,-3.825,1189.8454373019963,1415732.1646683784,-24649.0,12484.0,669,52.42043570381049,1.6080221977002669,1137.6273914913481,1294196.081871409,-0.1068268424875676,29350.15768212843,669,Information Technology
45,2019Q2,680,-84.60915984963867,-2.6267123287671232,2610.8609269809003,6816594.780035578,-66666.66666666667,7247.0,680,64.17479623029874,1.540856028667519,1512.5365489267197,2287766.811839153,-0.2165981511310314,39431.910732665856,680,Information Technology
45,2019Q3,664,29.998455984466162,4.226031746031746,461.6553574225995,213125.66903698785,-3567.0,5124.0,664,4.293534686195032,1.5720179715625529,20.922865679395994,437.76630823804715,-0.2676590539761309,388.6429032258064,664,Information Technology
45,2019Q4,682,81.24707270658644,5.815217391304348,2232.764054502465,4985235.323078284,-38800.0,39758.0,682,14.932257756644308,1.628990629999708,278.8172714762578,77739.07087346517,-0.1669974605563262,7269.228848204763,682,Information Technology
45,2020Q1,648,19.578353716286966,-3.05943722943723,307.06651556391216,94289.84498056235,-2416.0,2572.5,648,4.612220505405121,1.3141940239711425,35.30959445447845,1246.767460539736,-0.2139252784735916,744.48,648,Information Technology
45,2020Q2,663,70.56604279863522,-3.640454545454545,1239.5012978041818,1536363.4672582522,-5972.0,28501.0,663,4.391300990292343,1.644577898089172,24.288170714605897,589.9152366618385,-0.1934953911489838,470.0369230769231,663,Information Technology
45,2020Q3,663,0.6649899283215693,9.031666666666668,577.0046042261727,332934.3132982019,-3957.0,6928.5714285714275,663,4.033828907009603,1.6861567303847076,14.3619443309529,206.26544496539,-0.14750249268277,306.67499999999995,663,Information Technology
45,2020Q4,698,-18.999455115562,7.783823529411764,1240.4765119215954,1538781.9766291692,-18948.5,15002.0,698,4.473057168090181,2.205859830263843,11.184831344258024,125.10045219949657,-0.7225055584415584,210.76923076923083,698,Information Technology
45,2021Q1,681,46.714474245329605,-1.0366731707317074,804.7471202436604,647617.9275404656,-3436.3902439024396,14141.0,681,5.246854244160612,2.3633958096359,19.679079826406614,387.26618281408446,-0.1338310802430856,428.3500000000001,680,Information Technology
45,2021Q2,712,4.480494279067697,10.204068393494278,535.6498347543072,286920.745472317,-5573.5,4730.0,712,24.61744547011145,2.3871120824656114,503.77559532139406,253789.8504414249,-0.1780249552462126,13435.166666666664,712,Information Technology
45,2021Q3,728,-10.969581963954106,3.717171717171717,864.8399640785922,747948.1634674614,-11520.0,14535.0,728,4.546356116301996,2.2078860506565268,9.88337182676445,97.68103866608125,-0.1704882899680763,142.69444444444446,727,Information Technology
45,2021Q4,792,5.204366580469641,-4.465413306451612,755.5904171545175,570916.8784957372,-9276.333333333334,9291.5,792,5.02951677987513,2.1260433081598,14.98289986121138,224.48728825108827,-0.3719215036846898,247.8850925925926,791,Information Technology
45,2022Q1,761,7.66888557035566,-10.07142857142857,560.3974714902063,314045.3260526165,-7754.333333333333,7140.0,761,4.2444325200589,1.7969206198664025,19.84219851983037,393.7128421003583,-0.3144799934538909,424.49359375,759,Information Technology
45,2022Q2,781,8.801665410373136,-4.341818181818182,405.48061223111563,164414.52689532036,-4762.0,5864.666666666667,781,3.7531386243034586,1.3267256815222626,23.617994740455092,557.8096755601644,-0.5308471923302681,444.2514516129032,779,Information Technology
45,2022Q3,762,34.30516003603616,-3.7078282828282827,752.6592151651766,566495.8941730601,-6856.999999999999,16636.666666666668,762,4.182308113449438,1.292506624894335,31.17333818341689,971.7770134976776,-0.5479678206348045,763.5477777777778,762,Information Technology
45,2022Q4,775,2.969987534747911,-1.554054054054054,470.35351080025373,221232.42512212475,-6284.0,6476.999999999999,775,9.012648729330884,1.1790750917390136,118.72101551208681,14094.679524221146,-0.6732234538666046,3003.4114285714286,775,Information Technology
45,2023Q1,739,6.28959144469156,-4.0,402.5152938742865,162018.56180270322,-3605.5,4240.0,739,5.779064943069442,1.403909457649959,75.82995990921461,5750.182819833096,-0.5179238180051813,1994.5339130434784,739,Information Technology
45,2023Q2,762,32.92813515819261,-3.5760204081632656,533.6359159098482,284767.29074894317,-9838.0,5695.5,762,55.78299727640701,1.3986082211642534,1380.794227298366,1906592.6981404894,-0.4894850327895668,38074.266666666656,761,Information Technology
45,2023Q3,709,24.55738971305869,-1.4787878787878788,407.2021057239919,165813.5549060534,-7035.714285714285,4041.5,709,9.204948456058245,1.3511693537120344,111.35859127106305,12400.735849875664,-0.6671418506407147,2683.23,709,Information Technology
45,2023Q4,743,16.83975443362041,-0.5157657657657657,328.6260218940454,107995.06226590557,-4528.0,2460.3999999999996,743,9.526786173396733,1.4338742169266674,163.62674588633925,26773.711969352647,-0.61655093956323,4430.7099,742,Information Technology
45,2024Q1,692,80.40051587067931,-1.888780194145534,625.1020880064523,390752.6204300263,-3367.0,10664.0,692,6.050389765658974,1.553496381504781,67.15491578284772,4509.782713801367,-0.5486369948110795,1684.2700000000002,692,Information Technology
45,2024Q2,723,19.533981202503686,-2.0,368.0074436688519,135429.47859568297,-3667.0,1937.0,723,6.744765198427498,1.4314834168524262,75.33365299354642,5675.1592733520665,-0.6566226962930127,1541.7215,723,Information Technology
45,2024Q3,687,60.8663953131914,-1.103734439834025,991.2264735853206,982529.9219363879,-9247.857142857143,21652.0,687,7.023386342892179,1.5106935102421717,69.9194771149228,4888.733280024218,-0.6197428348254521,1428.383181818182,687,Information Technology
45,2024Q4,695,56.339150687600636,2.103448275862069,673.6460083844859,453798.94461235113,-4241.0,10911.0,695,3.613313588819068,1.666586775612822,12.051740084408474,145.24443906213793,-0.7107929618768329,254.26666666666668,695,Information Technology
45,2025Q1,506,42.08840945321278,40.690789473684205,437.41897777699586,191335.36211947183,-4051.8,3532.9999999999995,506,4.137085836495028,1.656594016737582,32.017259481620556,1025.1049047134213,-0.4405586696895585,719.2,506,Information Technology
45,2025Q2,22,186.34178893635365,131.62727272727273,472.29634632609225,223063.8387529762,-1134.0,1561.0,22,3.8647577514620095,2.6307220076462756,4.137540730802854,17.119243299052624,0.340498481531762,20.86108994523129,22,Information Technology
50,2010Q1,238,36.08665243417144,39.88059701492537,184.33076247013918,33977.82999282288,-1041.0,1669.0,238,5.600840289745562,0.9611031299092982,56.97530711538432,3246.185620892363,-0.3579953336444237,877.1818181818181,238,Communication Services
50,2010Q2,242,49.34583030157968,31.65308388157895,214.09002069744193,45834.53696223113,-664.0,2714.0,242,1.6907954614449805,0.9005662917102308,4.3989316694516924,19.35059983250507,-0.3438724095895977,53.917919254658386,242,Communication Services
50,2010Q3,235,35.08588382119914,37.82142857142857,128.26754609485894,16452.56338119677,-947.0,498.99999999999994,235,1.834547974149118,0.9332369348438676,4.142249158125563,17.15822808799192,-0.4294645993580038,44.807228915662655,234,Communication Services
50,2010Q4,259,15.878554264692989,24.074074074074073,151.26111819330646,22879.925877089412,-1117.0,554.8888888888889,259,3.8720138615085142,1.0315787015179556,30.141180052662968,908.4907349670477,-0.1155775655201618,479.5274725274725,258,Communication Services
50,2011Q1,244,4.198925334926606,33.721311475409834,341.02770002088545,116299.89218153509,-2950.0,1491.75,244,8.233943547422093,1.024020633209699,57.77904977775276,3338.418593220031,-0.1867065637668412,629.6371428571429,244,Communication Services
50,2011Q2,253,34.208879953587925,37.59493670886076,154.30804164200583,23810.97171539104,-950.0,1081.0,253,4.0041776199054215,1.0273767091492585,18.133853481367787,328.83664208371465,-0.2800095152916987,188.2817338896616,253,Communication Services
50,2011Q3,242,21.23950301953644,32.169913419913414,204.39021838173701,41775.361370134146,-1509.0,1345.0,242,2.8494553332275543,0.9220733108188779,9.718582414990973,94.45084415697177,-0.2865424932312133,82.38600212765958,242,Communication Services
50,2011Q4,253,27.812043472687154,22.08571428571429,164.49867187606264,27059.813048988515,-962.0,1454.3333333333337,253,3.58296507409817,0.912986603763869,19.039698361307757,362.51011368958507,-0.2893618353103189,259.1291625615763,253,Communication Services
50,2012Q1,262,4.190707762117079,34.967948717948715,284.7631863417018,81090.07229547878,-2653.333333333333,861.9999999999999,262,3.844131245475323,1.0073073686207201,16.12762889404816,260.1004137441369,-0.2346619488607643,210.88976377952756,262,Communication Services
50,2012Q2,257,28.489135373253696,33.66666666666667,124.61526815090957,15528.965056323095,-757.6666666666667,622.5909090909091,257,5.095566734006389,0.9328036371256926,26.5602278552399,705.4457037222611,-0.2870794466403162,299.9766666666667,257,Communication Services
50,2012Q3,240,26.19765488221151,33.207142857142856,180.0088769126189,32403.195767342357,-1083.0,1585.0,240,6.4541910770555075,0.9211290046091047,39.64827012929202,1571.9853242453103,-0.2142803973775373,413.5855319148936,240,Communication Services
50,2012Q4,265,35.81657335848987,23.000000000000004,230.8571384173741,53295.01835825865,-2264.0,1255.5,265,29.351025704525625,0.9278918114343568,292.96631227239357,85829.26012648574,-0.1714090345741271,4070.87,265,Communication Services
50,2013Q1,256,49.92792591455431,30.066841415465266,439.7995652990208,193423.65763720762,-3668.999999999999,3785.6,256,22.85688909602756,0.9802237781946059,233.5951513261357,54566.69472308027,-0.1320948344642321,3613.86,256,Communication Services
50,2013Q2,268,-27.316178703237743,35.14553990610329,455.8957389600958,207840.92480197182,-4252.0,938.3333333333334,268,80.92867562961749,0.9917549532289657,1189.1101823188778,1413983.0256944364,-0.133719177776787,19440.0,268,Communication Services
50,2013Q3,261,49.04233803710469,39.41984732824427,226.13436773292662,51136.75226997045,-1654.5000000000002,1512.0,261,10.161126228862484,1.0769609773988214,72.92460568279745,5317.998113991494,-0.1941638735463972,954.2446666666668,261,Communication Services
