gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,data_source
66355,FIRST NATIONAL CORP/VA,40.0,Financials,-0.002101880348942,54.0,6.1573546180159635,0.017490186569697565,201.75815,22.45,0.18,Q1 Only
34992,ALPINE BKS COLO,40.0,Financials,-0.0020674692070275,55.0,6.2713797035347785,0.017490186569697565,255.967,31.0,1.73,Q1 Only
41241,HANOVER BANCORP INC,40.0,Financials,-0.001479642177465,56.0,6.385404789053592,0.017490186569697565,156.84336,21.93,0.2,Q1 Only
164724,MAINSTREET BANCSHARES INC,40.0,Financials,-0.0007683126803713,57.0,6.499429874572406,0.017490186569697565,128.79416,16.72,0.25,Q1 Only
25476,BAYFIRST FINANCIAL CORP,40.0,Financials,0.0030180338819326,58.0,6.61345496009122,0.017490186569697565,69.07817,16.73,-0.17,Q1 Only
6742,LINCOLN NATIONAL CORP,40.0,Financials,0.0036502082800119,59.0,6.727480045610035,0.017490186569697565,6129.657449999999,35.91,-4.41,Q1 Only
20422,HERITAGE INSURANCE HOLDINGS,40.0,Financials,0.0045253597108486,60.0,6.841505131128849,0.017490186569697565,446.91906,14.42,0.99,Q1 Only
154499,BANK OF BOTETOURT BUCHANAN,40.0,Financials,0.0050167208621355,61.0,6.955530216647662,0.017490186569697565,65.49940000000001,33.35,0.98,Q1 Only
60990,BNCCORP INC,40.0,Financials,0.0053239531334867,62.0,7.069555302166476,0.017490186569697565,108.0,32.0,0.5,Q1 Only
162307,CALIFORNIA BANCRP,40.0,Financials,0.0062965335957761,63.0,7.183580387685291,0.017490186569697565,464.32066,14.33,0.52,Q1 Only
161942,BANKFINANCIAL CORP,40.0,Financials,0.0086643492466998,64.0,7.297605473204105,0.017490186569697565,157.50704000000002,12.64,0.17,Q1 Only
161023,BAYCOM CORP,40.0,Financials,0.0088097034165718,65.0,7.411630558722919,0.017490186569697565,279.13530000000003,25.17,0.51,Q1 Only
22975,FIRST NORTHWEST BANCRP,40.0,Financials,0.0088809839967285,66.0,7.525655644241732,0.017490186569697565,89.65183999999999,10.16,0.17,Q1 Only
117034,FIRST CAPITAL INC,40.0,Financials,0.0092675568817113,67.0,7.639680729760548,0.017490186569697565,127.87879999999998,38.15,0.97,Q1 Only
29944,BENCHMARK BANKSHARES INC,40.0,Financials,0.0094669676275041,68.0,7.753705815279361,0.017490186569697565,111.29272000000002,24.92,1.03,Q1 Only
