Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Impairment of Goodwill Diluted EPS Effect,,,Divide by Adjustment Factor,GDWLIDY,co_ifndytd,"18,4",NUMBER,,GDWLIDY_DC,co_ifndytd,2.0,NUMBER,,GDWLIDY_FN,co_ifntytd,8.0,VARCHAR2
Settlement (Litigation/Insurance) Pretax,,,,SETPY,co_ifndytd,"18,4",NUMBER,,SETPY_DC,co_ifndytd,2.0,NUMBER,,SETPY_FN,co_ifntytd,8.0,VARCHAR2
Settlement (Litigation/Insurance) After-tax,,,,SETAY,co_ifndytd,"18,4",NUMBER,,SETAY_DC,co_ifndytd,2.0,NUMBER,,SETAY_FN,co_ifntytd,8.0,VARCHAR2
Settlement (Litigation/Insurance) Basic EPS Effect,,,Divide by Adjustment Factor,SETEPSY,co_ifndytd,"18,4",NUMBER,,SETEPSY_DC,co_ifndytd,2.0,NUMBER,,SETEPSY_FN,co_ifntytd,8.0,VARCHAR2
Settlement (Litigation/Insurance) Diluted EPS Effect,,,Divide by Adjustment Factor,SETDY,co_ifndytd,"18,4",NUMBER,,SETDY_DC,co_ifndytd,2.0,NUMBER,,SETDY_FN,co_ifntytd,8.0,VARCHAR2
Restructuring Costs Pretax,,,,RCPY,co_ifndytd,"18,4",NUMBER,,RCPY_DC,co_ifndytd,2.0,NUMBER,,RCPY_FN,co_ifntytd,8.0,VARCHAR2
Restructuring Costs After-tax,,,,RCAY,co_ifndytd,"18,4",NUMBER,,RCAY_DC,co_ifndytd,2.0,NUMBER,,RCAY_FN,co_ifntytd,8.0,VARCHAR2
Restructuring Costs Basic EPS Effect,,,Divide by Adjustment Factor,RCEPSY,co_ifndytd,"18,4",NUMBER,,RCEPSY_DC,co_ifndytd,2.0,NUMBER,,RCEPSY_FN,co_ifntytd,8.0,VARCHAR2
Restructuring Costs Diluted EPS Effect,,,Divide by Adjustment Factor,RCDY,co_ifndytd,"18,4",NUMBER,,RCDY_DC,co_ifndytd,2.0,NUMBER,,RCDY_FN,co_ifntytd,8.0,VARCHAR2
Writedowns Pretax,,,,WDPY,co_ifndytd,"18,4",NUMBER,,WDPY_DC,co_ifndytd,2.0,NUMBER,,WDPY_FN,co_ifntytd,8.0,VARCHAR2
Writedowns After-tax,,,,WDAY,co_ifndytd,"18,4",NUMBER,,WDAY_DC,co_ifndytd,2.0,NUMBER,,WDAY_FN,co_ifntytd,8.0,VARCHAR2
Writedowns Basic EPS Effect,,,Divide by Adjustment Factor,WDEPSY,co_ifndytd,"18,4",NUMBER,,WDEPSY_DC,co_ifndytd,2.0,NUMBER,,WDEPSY_FN,co_ifntytd,8.0,VARCHAR2
Writedowns Diluted EPS Effect,,,Divide by Adjustment Factor,WDDY,co_ifndytd,"18,4",NUMBER,,WDDY_DC,co_ifndytd,2.0,NUMBER,,WDDY_FN,co_ifntytd,8.0,VARCHAR2
Extinguishment of Debt Pretax,,,,DTEPY,co_ifndytd,"18,4",NUMBER,,DTEPY_DC,co_ifndytd,2.0,NUMBER,,DTEPY_FN,co_ifntytd,8.0,VARCHAR2
Extinguishment of Debt After-tax,,,,DTEAY,co_ifndytd,"18,4",NUMBER,,DTEAY_DC,co_ifndytd,2.0,NUMBER,,DTEAY_FN,co_ifntytd,8.0,VARCHAR2
Extinguishment of Debt Basic EPS Effect,,,Divide by Adjustment Factor,DTEEPSY,co_ifndytd,"18,4",NUMBER,,DTEEPSY_DC,co_ifndytd,2.0,NUMBER,,DTEEPSY_FN,co_ifntytd,8.0,VARCHAR2
Extinguishment of Debt Diluted EPS Effect,,,Divide by Adjustment Factor,DTEDY,co_ifndytd,"18,4",NUMBER,,DTEDY_DC,co_ifndytd,2.0,NUMBER,,DTEDY_FN,co_ifntytd,8.0,VARCHAR2
In-Process Research & Development Pretax,,,,RDIPY,co_ifndytd,"18,4",NUMBER,,RDIPY_DC,co_ifndytd,2.0,NUMBER,,RDIPY_FN,co_ifntytd,8.0,VARCHAR2
In-Process Research & Development After-tax,,,,RDIPAY,co_ifndytd,"18,4",NUMBER,,RDIPAY_DC,co_ifndytd,2.0,NUMBER,,RDIPAY_FN,co_ifntytd,8.0,VARCHAR2
In-Process Research & Development Basic EPS Effect,,,Divide by Adjustment Factor,RDIPEPSY,co_ifndytd,"18,4",NUMBER,,RDIPEPSY_DC,co_ifndytd,2.0,NUMBER,,RDIPEPSY_FN,co_ifntytd,8.0,VARCHAR2
In-Process Research & Development Diluted EPS Effect,,,Divide by Adjustment Factor,RDIPDY,co_ifndytd,"18,4",NUMBER,,RDIPDY_DC,co_ifndytd,2.0,NUMBER,,RDIPDY_FN,co_ifntytd,8.0,VARCHAR2
Special Items - Other Pretax,,,,SPIOPY,co_ifndytd,"18,4",NUMBER,,SPIOPY_DC,co_ifndytd,2.0,NUMBER,,SPIOPY_FN,co_ifntytd,8.0,VARCHAR2
Special Items - Other After-tax,,,,SPIOAY,co_ifndytd,"18,4",NUMBER,,SPIOAY_DC,co_ifndytd,2.0,NUMBER,,SPIOAY_FN,co_ifntytd,8.0,VARCHAR2
Special Items - Other Basic EPS Effect,,,Divide by Adjustment Factor,SPIEPSY,co_ifndytd,"18,4",NUMBER,,SPIEPSY_DC,co_ifndytd,2.0,NUMBER,,SPIEPSY_FN,co_ifntytd,8.0,VARCHAR2
Special Items - Other Diluted EPS Effect,,,Divide by Adjustment Factor,SPIDY,co_ifndytd,"18,4",NUMBER,,SPIDY_DC,co_ifndytd,2.0,NUMBER,,SPIDY_FN,co_ifntytd,8.0,VARCHAR2
,,,,,, ,,,,,,,,,,,
Supplemental items,,,,,,,,,,,,,,,,,
,Foreign Exchange Adjustment,,,FCAY,co_ifndytd,"18,4",NUMBER,,FCAY_DC,co_ifndytd,2.0,NUMBER,,FCAY_FN1,co_ifntytd,8.0,VARCHAR2
,Goodwill Amortization,,,GDWLAMY,co_ifndytd,"18,4",NUMBER,,GDWLAMY_DC,co_ifndytd,2.0,NUMBER,,GDWLAMY_FN1,co_ifntytd,8.0,VARCHAR2
,Stock Compensation Expense,,,STKCOY,co_ifndytd,"18,4",NUMBER,,STKCOY_DC,co_ifndytd,2.0,NUMBER,,STKCOY_FN,co_ifntytd,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
Financial Services companies,,,,,,,,,,,,,,,,,
,Net Interest Income,,,NIITY,co_ifndytd,"18,4",NUMBER,,NIITY_DC,co_ifndytd,2.0,NUMBER,,NIITY_FN,co_ifntytd,8.0,VARCHAR2
,Interest Expense - Total,,,TIEY,co_ifndytd,"18,4",NUMBER,,TIEY_DC,co_ifndytd,2.0,NUMBER,,TIEY_FN,co_ifntytd,8.0,VARCHAR2
,Interest Income - Total,,,TIIY,co_ifndytd,"18,4",NUMBER,,TIIY_DC,co_ifndytd,2.0,NUMBER,,TIIY_FN,co_ifntytd,8.0,VARCHAR2
,Net Interest Margin,,,NIMY,co_ifndytd,"18,4",NUMBER,,NIMY_DC,co_ifndytd,2.0,NUMBER,,NIMY_FN,co_ifntytd,8.0,VARCHAR2
,Provision for Loan/Asset Losses,,,PLLY,co_ifndytd,"18,4",NUMBER,,PLLY_DC,co_ifndytd,2.0,NUMBER,,PLLY_FN,co_ifntytd,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
Real Estate Investment Trust companies,,,,,,,,,,,,,,,,,
,Depreciation/Amortization of Property,,,DPRETY,co_ifndytd,"18,4",NUMBER,,DPRETY_DC,co_ifndytd,2.0,NUMBER,,DPRETY_FN,co_ifntytd,8.0,VARCHAR2
,Gain/Loss on Sale of Property,,,SRETY,co_ifndytd,"18,4",NUMBER,,SRETY_DC,co_ifndytd,2.0,NUMBER,,SRETY_FN,co_ifntytd,8.0,VARCHAR2
