Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Common Shares Used to Calculate EPS Diluted,,,Multiply by Adjustment Factor,CSHFDQ,co_ifndq,"18,4",NUMBER,,CSHFDQ_DC,co_ifndq,2.0,NUMBER,,CSHFDQ_FN,co_ifntq,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
SPECIAL ITEMS - BREAKOUT,,,,,,,,,,,,,,,,,
Acquisition/Merger Pretax,,,,AQPQ,co_ifndq,"18,4",NUMBER,,AQPQ_DC,co_ifndq,2.0,NUMBER,,AQPQ_FN,co_ifntq,8.0,VARCHAR2
Acquisition/Merger After-tax,,,,AQAQ,co_ifndq,"18,4",NUMBER,,AQAQ_DC,co_ifndq,2.0,NUMBER,,AQAQ_FN,co_ifntq,8.0,VARCHAR2
Acquisition/Merger Basic EPS Effect,,,Divide by Adjustment Factor,AQEPSQ,co_ifndq,"18,4",NUMBER,,AQEPSQ_DC,co_ifndq,2.0,NUMBER,,AQEPSQ_FN,co_ifntq,8.0,VARCHAR2
Acquisition/Merger Diluted EPS Effect,,,Divide by Adjustment Factor,AQDQ,co_ifndq,"18,4",NUMBER,,AQDQ_DC,co_ifndq,2.0,NUMBER,,AQDQ_FN,co_ifntq,8.0,VARCHAR2
Gain/Loss on Sale of Assets Pretax,,,,GLPQ,co_ifndq,"18,4",NUMBER,,GLPQ_DC,co_ifndq,2.0,NUMBER,,GLPQ_FN,co_ifntq,8.0,VARCHAR2
Gain/Loss on Sale of Assets After-tax,,,,GLAQ,co_ifndq,"18,4",NUMBER,,GLAQ_DC,co_ifndq,2.0,NUMBER,,GLAQ_FN,co_ifntq,8.0,VARCHAR2
Gain/Loss on Sale of Assets Basic EPS Effect,,,Divide by Adjustment Factor,GLEPSQ,co_ifndq,"18,4",NUMBER,,GLEPSQ_DC,co_ifndq,2.0,NUMBER,,GLEPSQ_FN,co_ifntq,8.0,VARCHAR2
Gain/Loss on Sale of Assets Diluted EPS Effect,,,Divide by Adjustment Factor,GLDQ,co_ifndq,"18,4",NUMBER,,GLDQ_DC,co_ifndq,2.0,NUMBER,,GLDQ_FN,co_ifntq,8.0,VARCHAR2
Impairment of Goodwill Pretax,,,,GDWLIPQ,co_ifndq,"18,4",NUMBER,,GDWLIPQ_DC,co_ifndq,2.0,NUMBER,,GDWLIPQ_FN,co_ifntq,8.0,VARCHAR2
Impairment of Goodwill After-tax,,,,GDWLIAQ,co_ifndq,"18,4",NUMBER,,GDWLIAQ_DC,co_ifndq,2.0,NUMBER,,GDWLIAQ_FN,co_ifntq,8.0,VARCHAR2
Impairment of Goodwill Basic EPS Effect,,,Divide by Adjustment Factor,GDWLIEPSQ,co_ifndq,"18,4",NUMBER,,GDWLIEPSQ_DC,co_ifndq,2.0,NUMBER,,GDWLIEPSQ_FN,co_ifntq,8.0,VARCHAR2
Impairment of Goodwill Diluted EPS Effect,,,Divide by Adjustment Factor,GDWLIDQ,co_ifndq,"18,4",NUMBER,,GDWLIDQ_DC,co_ifndq,2.0,NUMBER,,GDWLIDQ_FN,co_ifntq,8.0,VARCHAR2
Settlement (Litigation/Insurance) Pretax,,,,SETPQ,co_ifndq,"18,4",NUMBER,,SETPQ_DC,co_ifndq,2.0,NUMBER,,SETPQ_FN,co_ifntq,8.0,VARCHAR2
Settlement (Litigation/Insurance) After-tax,,,,SETAQ,co_ifndq,"18,4",NUMBER,,SETAQ_DC,co_ifndq,2.0,NUMBER,,SETAQ_FN,co_ifntq,8.0,VARCHAR2
Settlement (Litigation/Insurance) Basic EPS Effect,,,Divide by Adjustment Factor,SETEPSQ,co_ifndq,"18,4",NUMBER,,SETEPSQ_DC,co_ifndq,2.0,NUMBER,,SETEPSQ_FN,co_ifntq,8.0,VARCHAR2
Settlement (Litigation/Insurance) Diluted EPS Effect,,,Divide by Adjustment Factor,SETDQ,co_ifndq,"18,4",NUMBER,,SETDQ_DC,co_ifndq,2.0,NUMBER,,SETDQ_FN,co_ifntq,8.0,VARCHAR2
Restructuring Costs Pretax,,,,RCPQ,co_ifndq,"18,4",NUMBER,,RCPQ_DC,co_ifndq,2.0,NUMBER,,RCPQ_FN,co_ifntq,8.0,VARCHAR2
Restructuring Costs After-tax,,,,RCAQ,co_ifndq,"18,4",NUMBER,,RCAQ_DC,co_ifndq,2.0,NUMBER,,RCAQ_FN,co_ifntq,8.0,VARCHAR2
Restructuring Costs Basic EPS Effect,,,Divide by Adjustment Factor,RCEPSQ,co_ifndq,"18,4",NUMBER,,RCEPSQ_DC,co_ifndq,2.0,NUMBER,,RCEPSQ_FN,co_ifntq,8.0,VARCHAR2
Restructuring Costs Diluted EPS Effect,,,Divide by Adjustment Factor,RCDQ,co_ifndq,"18,4",NUMBER,,RCDQ_DC,co_ifndq,2.0,NUMBER,,RCDQ_FN,co_ifntq,8.0,VARCHAR2
Writedowns Pretax,,,,WDPQ,co_ifndq,"18,4",NUMBER,,WDPQ_DC,co_ifndq,2.0,NUMBER,,WDPQ_FN,co_ifntq,8.0,VARCHAR2
Writedowns After-tax,,,,WDAQ,co_ifndq,"18,4",NUMBER,,WDAQ_DC,co_ifndq,2.0,NUMBER,,WDAQ_FN,co_ifntq,8.0,VARCHAR2
Writedowns Basic EPS Effect,,,Divide by Adjustment Factor,WDEPSQ,co_ifndq,"18,4",NUMBER,,WDEPSQ_DC,co_ifndq,2.0,NUMBER,,WDEPSQ_FN,co_ifntq,8.0,VARCHAR2
