Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
,,,,,,,,,,,,,,,,,
Income Before Extraordinary Items - Adjusted for Common Stock Equivalents,,,IBCOM + CSTKE,IBADJ,co_afnd1,"18,4",NUMBER,,IBADJ_DC,co_afnddc1,2,NUMBER,,IBADJ_FN,co_afntind,8,VARCHAR2
Extraordinary Items and Discontinued Operations,,,XI + DO,XIDO,co_afnd2,"18,4",NUMBER,,XIDO_DC,co_afnddc2,2,NUMBER,,XIDO_FN,co_afntind,8,VARCHAR2
,Extraordinary Items ,,,XI,co_afnd2,"18,4",NUMBER,,XI_DC,co_afnddc2,2,NUMBER,,XI_FN,co_afntind,8,VARCHAR2
,Discontinued Operations,,,DO,co_afnd1,"18,4",NUMBER,,DO_DC,co_afnddc1,2,NUMBER,,DO_FN,co_afntind,8,VARCHAR2
,,Extraordinary Items include:,,,,,,,,,,,,,,,
,,Accounting Changes - Cumulative Effect,,ACCHG,co_afnd1,"18,4",NUMBER,,ACCHG_DC,co_afnddc1,2,NUMBER,,ACCHG_FN,co_afntind,8,VARCHAR2
,,,,,,,,,,,,,,,,,
Net Income (Loss),,,IBADJ + XIDO,NIADJ,co_afnd2,"18,4",NUMBER,,NIADJ_DC,co_afnddc2,2,NUMBER,,NIADJ_FN,co_afntind,8,VARCHAR2
,,,,,,,,,,,,,,,,,
Earnings per Share - Basic  Excluding Extraordinary Items,,,Divide by Adjustment Factor,EPSPX,co_afnd1,"18,4",NUMBER,,EPSPX_DC,co_afnddc1,2,NUMBER,,EPSPX_FN,co_afntind,8,VARCHAR2
Earnings per Share - Basic  Including Extraordinary Items,,,Divide by Adjustment Factor,EPSPI,co_afnd1,"18,4",NUMBER,,EPSPI_DC,co_afnddc1,2,NUMBER,,EPSPI_FN,co_afntind,8,VARCHAR2
Earnings per Share - Diluted  Excluding Extraordinary Items,,,Divide by Adjustment Factor,EPSFX,co_afnd1,"18,4",NUMBER,,EPSFX_DC,co_afnddc1,2,NUMBER,,EPSFX_FN,co_afntind,8,VARCHAR2
Earnings per Share - Diluted  Including Extraordinary Items,,,Divide by Adjustment Factor,EPSFI,co_afnd1,"18,4",NUMBER,,EPSFI_DC,co_afnddc1,2,NUMBER,,EPSFI_FN,co_afntind,8,VARCHAR2
Earnings per Share from Operations - Basic,,,Divide by Adjustment Factor,OPEPS,co_afnd2,"18,4",NUMBER,,OPEPS_DC,co_afnddc2,2,NUMBER,,OPEPS_FN,co_afntind,8,VARCHAR2
Earnings per Share from Operations - Diluted,,,Divide by Adjustment Factor,OPREPSX,co_afnd2,"18,4",NUMBER,,OPREPSX_DC,co_afnddc2,2,NUMBER,,OPREPSX_FN,co_afntind,8,VARCHAR2
,,,,,,,,,,,,,,,,,
,Dilution Adjustment,,,DILADJ,co_afnd1,"18,4",NUMBER,,DILADJ_DC,co_afnddc1,2,NUMBER,,DILADJ_FN,co_afntind,8,VARCHAR2
,Dilution Adjustment - Excluding,,,DILAVX,co_afnd1,"18,4",NUMBER,,DILAVX_DC,co_afnddc1,2,NUMBER,,DILAVX_FN,co_afntind,8,VARCHAR2
,,,,,,,,,,,,,,,,,
Common Shares Used to Calculate EPS Basic,,,Multiply by Adjustment Factor,CSHPRI,co_afnd1,"18,4",NUMBER,,CSHPRI_DC,co_afnddc1,2,NUMBER,,CSHPRI_FN,co_afntind,8,VARCHAR2
Common Shares Used to Calculate EPS Diluted,,,Multiply by Adjustment Factor,CSHFD,co_afnd1,"18,4",NUMBER,,CSHFD_DC,co_afnddc1,2,NUMBER,,CSHFD_FN,co_afntind,8,VARCHAR2
,,,,,,,,,,,,,,,,,
Dividends Common/Ordinary,,,,DVC,co_afnd1,"18,4",NUMBER,,DVC_DC,co_afnddc1,2,NUMBER,,DVC_FN,co_afntind,8,VARCHAR2
,,,,,,,,,,,,,,,,,
SPECIAL ITEMS - BREAKOUT,,,,,,,,,,,,,,,,,
Acquisition/Merger Pretax,,,,AQP,co_afnd1,"18,4",NUMBER,,AQP_DC,co_afnddc1,2,NUMBER,,AQP_FN,co_afntind,8,VARCHAR2
Acquisition/Merger After-tax,,,,AQA,co_afnd1,"18,4",NUMBER,,AQA_DC,co_afnddc1,2,NUMBER,,AQA_FN,co_afntind,8,VARCHAR2
