Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Gain/Loss on Sale of Assets Basic EPS Effect,,,Divide by Adjustment Factor,GLEPSSA,co_ifndsa,"18,4",NUMBER,,GLEPSSA_DC,co_ifndsa,2.0,NUMBER,,GLEPSSA_FN,co_ifntsa,8.0,VARCHAR2
Gain/Loss on Sale of Assets Diluted EPS Effect,,,Divide by Adjustment Factor,GLDSA,co_ifndsa,"18,4",NUMBER,,GLDSA_DC,co_ifndsa,2.0,NUMBER,,GLDSA_FN,co_ifntsa,8.0,VARCHAR2
Impairment of Goodwill Pretax,,,,GDWLIPSA,co_ifndsa,"18,4",NUMBER,,GDWLIPSA_DC,co_ifndsa,2.0,NUMBER,,GDWLIPSA_FN,co_ifntsa,8.0,VARCHAR2
Impairment of Goodwill After-tax,,,,GDWLIASA,co_ifndsa,"18,4",NUMBER,,GDWLIASA_DC,co_ifndsa,2.0,NUMBER,,GDWLIASA_FN,co_ifntsa,8.0,VARCHAR2
Impairment of Goodwill Basic EPS Effect,,,Divide by Adjustment Factor,GDWLIEPSSA,co_ifndsa,"18,4",NUMBER,,GDWLIEPSSA_DC,co_ifndsa,2.0,NUMBER,,GDWLIEPSSA_FN,co_ifntsa,8.0,VARCHAR2
Impairment of Goodwill Diluted EPS Effect,,,Divide by Adjustment Factor,GDWLIDSA,co_ifndsa,"18,4",NUMBER,,GDWLIDSA_DC,co_ifndsa,2.0,NUMBER,,GDWLIDSA_FN,co_ifntsa,8.0,VARCHAR2
Settlement (Litigation/Insurance) Pretax,,,,SETPSA,co_ifndsa,"18,4",NUMBER,,SETPSA_DC,co_ifndsa,2.0,NUMBER,,SETPSA_FN,co_ifntsa,8.0,VARCHAR2
Settlement (Litigation/Insurance) After-tax,,,,SETASA,co_ifndsa,"18,4",NUMBER,,SETASA_DC,co_ifndsa,2.0,NUMBER,,SETASA_FN,co_ifntsa,8.0,VARCHAR2
Settlement (Litigation/Insurance) Basic EPS Effect,,,Divide by Adjustment Factor,SETEPSSA,co_ifndsa,"18,4",NUMBER,,SETEPSSA_DC,co_ifndsa,2.0,NUMBER,,SETEPSSA_FN,co_ifntsa,8.0,VARCHAR2
Settlement (Litigation/Insurance) Diluted EPS Effect,,,Divide by Adjustment Factor,SETDSA,co_ifndsa,"18,4",NUMBER,,SETDSA_DC,co_ifndsa,2.0,NUMBER,,SETDSA_FN,co_ifntsa,8.0,VARCHAR2
Restructuring Costs Pretax,,,,RCPSA,co_ifndsa,"18,4",NUMBER,,RCPSA_DC,co_ifndsa,2.0,NUMBER,,RCPSA_FN,co_ifntsa,8.0,VARCHAR2
Restructuring Costs After-tax,,,,RCASA,co_ifndsa,"18,4",NUMBER,,RCASA_DC,co_ifndsa,2.0,NUMBER,,RCASA_FN,co_ifntsa,8.0,VARCHAR2
Restructuring Costs Basic EPS Effect,,,Divide by Adjustment Factor,RCEPSSA,co_ifndsa,"18,4",NUMBER,,RCEPSSA_DC,co_ifndsa,2.0,NUMBER,,RCEPSSA_FN,co_ifntsa,8.0,VARCHAR2
Restructuring Costs Diluted EPS Effect,,,Divide by Adjustment Factor,RCDSA,co_ifndsa,"18,4",NUMBER,,RCDSA_DC,co_ifndsa,2.0,NUMBER,,RCDSA_FN,co_ifntsa,8.0,VARCHAR2
Writedowns Pretax,,,,WDPSA,co_ifndsa,"18,4",NUMBER,,WDPSA_DC,co_ifndsa,2.0,NUMBER,,WDPSA_FN,co_ifntsa,8.0,VARCHAR2
Writedowns After-tax,,,,WDASA,co_ifndsa,"18,4",NUMBER,,WDASA_DC,co_ifndsa,2.0,NUMBER,,WDASA_FN,co_ifntsa,8.0,VARCHAR2
Writedowns Basic EPS Effect,,,Divide by Adjustment Factor,WDEPSSA,co_ifndsa,"18,4",NUMBER,,WDEPSSA_DC,co_ifndsa,2.0,NUMBER,,WDEPSSA_FN,co_ifntsa,8.0,VARCHAR2
